dataset,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
balance_scale,0.5497947454844005,0.6397947454844007,0.6538998357963876,0.6343596059113301,0.6550492610837438,0.6550492610837438,0.6550492610837438,0.6538998357963876
banknote,0.8485872841567407,0.7266948107974855,0.8332489663054805,0.590983606557377,0.8352118653563865,0.8333999585401657,0.836031537487534,0.8348883105677756
breast_cancer,0.9286904761904762,0.8558189033189032,0.9263275613275613,0.7862734487734488,0.9259307359307358,0.9235497835497835,0.9235497835497835,0.9277164502164503
digits,0.8854695562435501,0.8185276917784657,0.8424200206398348,0.9005555555555557,0.8579790161678706,0.8573942208462331,0.8596233230134158,0.8573907808737531
ecoli,0.456375132260047,0.4370496624596884,0.4994689787064585,0.125,0.5635369654718818,0.5635369654718818,0.5635369654718818,0.5635369654718818
glass,0.6076940035273368,0.3741549088771311,0.4911081716637272,0.29655349794238683,0.566247795414462,0.566247795414462,0.566247795414462,0.5725308641975309
ionosphere,0.7581053004966049,0.7354831762440458,0.8567244349853045,0.519551282051282,0.8585195601499949,0.8563456471065166,0.8357846863281646,0.8607922874227223
iris,0.7533333333333333,0.6666666666666666,0.9533333333333334,0.7933333333333333,0.9533333333333334,0.9533333333333334,0.9533333333333334,0.9533333333333334
letter,0.4199351788272175,0.405656148830584,0.6423977917255522,0.5201111783352289,0.6556420496593551,0.6561840902835806,0.6571859962519935,0.652553146958434
optdigits,0.8954292196007259,0.8207112432334756,0.7923859747330708,0.9073991444127559,0.8346565925000589,0.8330465387606948,0.8357190723674389,0.834469612510901
page_blocks,0.6125704329194283,0.6721311994190577,0.6704780690893838,0.20651515151515154,0.7081034749536996,0.7049732845192274,0.7049732845192274,0.7251107327183715
parkinsons,0.7646428571428572,0.7398809523809524,0.7875,0.6950000000000001,0.7608333333333334,0.7677380952380952,0.7641666666666667,0.7775000000000001
pendigits,0.8093999888975926,0.6966572789644332,0.855336563311478,0.7992600882846986,0.8546840912782366,0.8533367257355859,0.8522458977632763,0.8549986800471236
robot_navigation,0.6324333481678002,0.5691747891630932,0.6647595323658868,0.4789282508642029,0.6525519245783336,0.652904778653387,0.6542181945136891,0.6539049986222609
satellite,0.7032494053923096,0.4872712806349987,0.7855165377323896,0.4838861507469535,0.789151977838328,0.7862808423944888,0.785168983504808,0.7911887545225154
segment,0.7233766233766235,0.49567099567099565,0.7965367965367965,0.7692640692640693,0.8103896103896104,0.8121212121212121,0.8138528138528139,0.80995670995671
sonar,0.7503787878787879,0.7443939393939394,0.6883333333333332,0.7496464646464647,0.6885858585858586,0.6754040404040405,0.685959595959596,0.6784848484848485
spambase,0.8911171704037786,0.8574979289112242,0.8442574157422561,0.8699239423974303,0.8554405550277611,0.8556042700724781,0.856047035321463,0.8544644802997166
transfusion,0.6472394220846234,0.6710268317853457,0.5521327829377365,0.5,0.559296525627795,0.5619281045751634,0.5628052975576195,0.5641382868937048
vehicle,0.46764610389610384,0.47511819321029847,0.459262360446571,0.5399757917521075,0.47032923217133743,0.4739547732968785,0.47843529277739805,0.48555109364319887
vowel,0.34444444444444444,0.08888888888888888,0.3555555555555555,0.046464646464646465,0.15656565656565657,0.15454545454545454,0.14343434343434341,0.19696969696969696
waveform,0.7827989518220123,0.7320798798141654,0.8000990035302852,0.8182655549155031,0.8097437494390011,0.8091520902244339,0.8079733830532501,0.8093539969029256
wine,0.934404761904762,0.8859126984126984,0.9793650793650794,0.9430158730158731,0.9746031746031747,0.9746031746031747,0.9746031746031747,0.9746031746031747
