dataset,classifier,metric,mean,std
JapaneseVowels,BernoulliNB,accuracy,0.7134827172279892,0.01304600054618293
JapaneseVowels,BernoulliNB,auc_roc,0.9411861494494168,0.002442721164261185
JapaneseVowels,BernoulliNB,balanced_accuracy,0.6995956005261496,0.013993703264676076
JapaneseVowels,BernoulliNB,brier_score,0.4094681812368813,0.012833198928619982
JapaneseVowels,BernoulliNB,ece,0.04009679185554767,0.011609646796181386
JapaneseVowels,BernoulliNB,geometric_mean,0.6493247274399432,0.018176373446789008
JapaneseVowels,BernoulliNB,log_loss,0.8624511499460835,0.017285047664752792
JapaneseVowels,BernoulliNB,macro_f1,0.6889969923537704,0.01418968502464146
JapaneseVowels,BernoulliNB,mcc,0.6767994345308207,0.014883405462300884
JapaneseVowels,BernoulliNB,weighted_f1,0.6993773151569636,0.012989440985295444
JapaneseVowels,ComplementNB,accuracy,0.6105800332725082,0.010937190891035875
JapaneseVowels,ComplementNB,auc_roc,0.9233579491721826,0.002832790052147564
JapaneseVowels,ComplementNB,balanced_accuracy,0.5828413417485635,0.010228432901393072
JapaneseVowels,ComplementNB,brier_score,0.8811377662654889,0.00016748644301274186
JapaneseVowels,ComplementNB,ece,0.49486117721101797,0.010914398914668975
JapaneseVowels,ComplementNB,geometric_mean,0.1481920397557576,0.19135414636637907
JapaneseVowels,ComplementNB,log_loss,2.1632631732458005,0.0006983225049308016
JapaneseVowels,ComplementNB,macro_f1,0.5516714344189071,0.009687180089800726
JapaneseVowels,ComplementNB,mcc,0.5701752879128426,0.012562368876675556
JapaneseVowels,ComplementNB,weighted_f1,0.5694444021298948,0.010183335120518937
JapaneseVowels,GaussianNB,accuracy,0.857744115881782,0.010374440623366513
JapaneseVowels,GaussianNB,auc_roc,0.983949918193091,0.0013350871889898873
JapaneseVowels,GaussianNB,balanced_accuracy,0.8492116151247531,0.01159990144872577
JapaneseVowels,GaussianNB,brier_score,0.20936997006793773,0.011257390531259693
JapaneseVowels,GaussianNB,ece,0.02841621146261794,0.005758688745460305
JapaneseVowels,GaussianNB,geometric_mean,0.8433226456140034,0.013094715877924653
